
	3.00	14.00	1.00	4.00	13.00	-12.00	-1.00
	1.00	13.00	3.00	5.00	18.00	-5.00	1.00
	0.00	9.00	3.00	7.00	14.00	14.00	-2.00
	4.00	5.00	2.00	8.00	7.00	19.00	-1.00
	6.00	6.00	0.00	8.00	8.00	21.00	5.00
	9.00	4.00	3.00	11.00	14.00	28.00	2.00
	8.00	3.00	3.00	9.00	14.00	16.00	-1.00
	9.00	4.00	0.00	7.00	7.00	17.00	-3.00
	11.00	4.00	2.00	11.00	4.00	17.00	4.00
	14.00	5.00	3.00	18.00	7.00	14.00	11.00
	10.00	6.00	6.00	18.00	13.00	12.00	5.00
	9.00	0.00	3.00	6.00	13.00	9.00	2.00
	11.00	-7.00	1.00	0.00	9.00	10.00	-4.00
	14.00	-3.00	2.00	3.00	12.00	8.00	-12.00
	15.00	2.00	4.00	5.00	12.00	8.00	2.00
	18.00	9.00	4.00	0.00	12.00	2.00	5.00
	18.00	23.00	-1.00	-11.00	14.00	-4.00	4.00
	20.00	33.00	-2.00	-13.00	14.00	0.00	8.00
	21.00	36.00	0.00	-12.00	11.00	-6.00	5.00
	21.00	40.00	0.00	-8.00	12.00	-2.00	-4.00
	17.00	41.00	-1.00	-9.00	8.00	2.00	-3.00
	14.00	39.00	-1.00	-7.00	12.00	0.00	9.00
	12.00	33.00	-1.00	-2.00	19.00	-3.00	6.00
	9.00	27.00	-1.00	2.00	14.00	6.00	1.00
	1.00	18.00	-2.00	5.00	4.00	38.00	-1.00
	-4.00	14.00	0.00	8.00	6.00	25.00	-2.00
	-17.00	17.00	1.00	12.00	6.00	16.00	2.00
	-35.00	11.00	1.00	14.00	9.00	2.00	1.00
	-46.00	7.00	4.00	13.00	7.00	8.00	-2.00
	-60.00	10.00	4.00	14.00	7.00	15.00	5.00
	-74.00	9.00	4.00	15.00	11.00	3.00	-2.00
	-88.00	10.00	3.00	12.00	12.00	9.00	-1.00
	-94.00	9.00	3.00	8.00	8.00	14.00	0.00
	-95.00	6.00	4.00	9.00	9.00	9.00	-1.00
	-86.00	9.00	6.00	9.00	12.00	7.00	-4.00
	-80.00	10.00	6.00	9.00	14.00	10.00	-2.00
	-74.00	12.00	5.00	10.00	14.00	8.00	-7.00
	-68.00	12.00	3.00	11.00	13.00	7.00	-10.00
	-54.00	14.00	5.00	11.00	12.00	6.00	1.00
	-46.00	15.00	4.00	11.00	14.00	3.00	10.00
	-40.00	7.00	3.00	9.00	15.00	4.00	3.00
	-33.00	3.00	2.00	7.00	14.00	1.00	-5.00
	-27.00	2.00	4.00	13.00	16.00	1.00	-5.00
	-23.00	10.00	7.00	16.00	18.00	3.00	-3.00
	-16.00	9.00	9.00	15.00	16.00	12.00	4.00
	-11.00	7.00	6.00	14.00	10.00	13.00	3.00
	0.00	9.00	6.00	13.00	10.00	15.00	-1.00
	12.00	6.00	5.00	13.00	13.00	10.00	1.00
	24.00	4.00	3.00	10.00	15.00	1.00	0.00
	44.00	8.00	5.00	13.00	15.00	0.00	5.00
	53.00	6.00	4.00	14.00	13.00	5.00	-6.00
	65.00	9.00	4.00	15.00	12.00	14.00	-2.00
	72.00	4.00	2.00	10.00	11.00	26.00	1.00
	71.00	0.00	-1.00	5.00	12.00	30.00	7.00
