
12.00	12.00	4.00	0.00	9.00	8.00	-3.00
7.00	16.00	5.00	-5.00	8.00	8.00	-3.00
9.00	11.00	5.00	0.00	10.00	10.00	0.00
9.00	7.00	4.00	0.00	7.00	6.00	0.00
10.00	6.00	9.00	1.00	5.00	3.00	1.00
6.00	3.00	11.00	1.00	7.00	6.00	1.00
-1.00	10.00	16.00	3.00	9.00	6.00	3.00
-5.00	17.00	19.00	1.00	-18.00	6.00	1.00
-6.00	16.00	18.00	-3.00	-43.00	9.00	4.00
-6.00	11.00	23.00	5.00	-33.00	14.00	6.00
-3.00	11.00	24.00	6.00	-12.00	15.00	6.00
-5.00	10.00	17.00	6.00	19.00	15.00	4.00
2.00	13.00	22.00	9.00	42.00	14.00	5.00
27.00	17.00	48.00	12.00	45.00	16.00	5.00
58.00	19.00	54.00	12.00	21.00	17.00	5.00
65.00	19.00	23.00	10.00	0.00	15.00	7.00
30.00	16.00	-15.00	9.00	9.00	12.00	8.00
-1.00	12.00	-47.00	11.00	22.00	13.00	7.00
-24.00	15.00	-78.00	14.00	26.00	13.00	7.00
-41.00	10.00	-92.00	13.00	31.00	11.00	4.00
-53.00	10.00	-97.00	12.00	39.00	11.00	4.00
-56.00	8.00	-86.00	14.00	48.00	10.00	1.00
-52.00	10.00	-75.00	17.00	59.00	9.00	1.00
-46.00	8.00	-46.00	21.00	66.00	9.00	2.00
-38.00	6.00	-14.00	26.00	64.00	10.00	5.00
-28.00	5.00	14.00	23.00	52.00	10.00	5.00
-19.00	5.00	32.00	21.00	42.00	5.00	4.00
-9.00	5.00	47.00	18.00	23.00	4.00	3.00
-6.00	9.00	41.00	15.00	7.00	12.00	5.00
-3.00	9.00	28.00	11.00	-5.00	9.00	3.00
10.00	12.00	26.00	8.00	-15.00	7.00	2.00
11.00	13.00	22.00	6.00	-17.00	12.00	3.00
13.00	13.00	23.00	3.00	-16.00	20.00	5.00
18.00	9.00	22.00	-2.00	-14.00	12.00	1.00
17.00	11.00	27.00	-4.00	-19.00	11.00	-2.00
14.00	6.00	29.00	-6.00	-30.00	8.00	-2.00
17.00	-1.00	33.00	-7.00	-18.00	12.00	2.00
4.00	-1.00	39.00	-9.00	-1.00	11.00	1.00
3.00	5.00	36.00	-9.00	16.00	7.00	3.00
7.00	7.00	22.00	-11.00	20.00	6.00	4.00
10.00	11.00	12.00	-10.00	37.00	5.00	2.00
2.00	17.00	-1.00	-7.00	34.00	5.00	1.00
0.00	17.00	12.00	0.00	30.00	6.00	1.00
5.00	25.00	65.00	2.00	28.00	7.00	6.00
12.00	45.00	89.00	5.00	15.00	6.00	12.00
16.00	50.00	67.00	9.00	-11.00	8.00	12.00
13.00	38.00	25.00	12.00	-17.00	8.00	11.00
4.00	25.00	-20.00	14.00	-28.00	6.00	9.00
4.00	20.00	-24.00	17.00	-53.00	2.00	6.00
7.00	17.00	23.00	15.00	-39.00	4.00	8.00
12.00	8.00	29.00	0.00	-10.00	12.00	3.00
15.00	10.00	-5.00	-12.00	21.00	16.00	0.00
12.00	15.00	-38.00	-15.00	46.00	17.00	3.00
11.00	18.00	-38.00	-16.00	62.00	17.00	4.00
16.00	13.00	-46.00	-11.00	62.00	16.00	4.00
12.00	23.00	-58.00	-5.00	33.00	15.00	3.00
20.00	21.00	-74.00	6.00	31.00	14.00	6.00
49.00	20.00	-89.00	19.00	39.00	15.00	9.00
57.00	22.00	-108.00	27.00	39.00	16.00	0.00
34.00	21.00	-98.00	36.00	28.00	19.00	-4.00
1.00	19.00	-63.00	40.00	13.00	15.00	0.00
-26.00	18.00	-35.00	46.00	21.00	6.00	0.00
-45.00	10.00	-28.00	50.00	28.00	15.00	4.00
-61.00	0.00	-17.00	45.00	18.00	15.00	4.00
-59.00	1.00	17.00	40.00	-2.00	10.00	2.00
-56.00	0.00	56.00	31.00	-19.00	8.00	3.00
-52.00	-4.00	110.00	22.00	-14.00	6.00	3.00
-41.00	1.00	128.00	16.00	2.00	6.00	1.00
-26.00	12.00	131.00	3.00	15.00	2.00	2.00
-21.00	25.00	95.00	-3.00	28.00	6.00	3.00
-12.00	23.00	54.00	-6.00	32.00	7.00	3.00
6.00	23.00	9.00	-3.00	49.00	7.00	2.00
15.00	22.00	-40.00	0.00	46.00	7.00	0.00
17.00	21.00	-71.00	2.00	37.00	6.00	1.00
15.00	21.00	-87.00	4.00	25.00	5.00	2.00
0.00	20.00	-95.00	4.00	18.00	3.00	1.00
0.00	19.00	-78.00	10.00	12.00	2.00	-2.00
0.00	18.00	-62.00	15.00	4.00	2.00	-3.00
0.00	16.00	-20.00	18.00	-3.00	0.00	-1.00
-5.00	17.00	61.00	13.00	-7.00	0.00	1.00
-8.00	15.00	81.00	7.00	-5.00	4.00	2.00
-3.00	12.00	61.00	1.00	-9.00	5.00	0.00
1.00	13.00	25.00	-3.00	-22.00	-5.00	-3.00
0.00	12.00	-4.00	-5.00	-20.00	-3.00	-4.00
-2.00	11.00	-16.00	-3.00	-1.00	17.00	-3.00
-2.00	16.00	-20.00	-3.00	11.00	24.00	-1.00
0.00	13.00	-13.00	-8.00	8.00	13.00	-3.00
1.00	10.00	-15.00	-12.00	12.00	13.00	-4.00
3.00	11.00	-12.00	-11.00	14.00	14.00	-1.00
