
-1.00	12.00	6.00	10.00	7.00	16.00	6.00
1.00	11.00	4.00	8.00	9.00	15.00	3.00
1.00	16.00	5.00	8.00	14.00	12.00	7.00
-5.00	17.00	3.00	7.00	13.00	9.00	8.00
-9.00	27.00	4.00	7.00	12.00	7.00	12.00
-9.00	29.00	7.00	6.00	12.00	11.00	11.00
-13.00	28.00	7.00	8.00	11.00	12.00	4.00
-16.00	23.00	8.00	10.00	12.00	12.00	2.00
-19.00	21.00	9.00	11.00	10.00	11.00	2.00
-18.00	23.00	10.00	12.00	9.00	9.00	5.00
-21.00	22.00	12.00	12.00	10.00	10.00	-4.00
-19.00	17.00	9.00	14.00	10.00	8.00	-10.00
-19.00	9.00	11.00	13.00	9.00	9.00	-2.00
-21.00	6.00	12.00	12.00	8.00	4.00	2.00
-22.00	7.00	11.00	14.00	13.00	13.00	0.00
-23.00	9.00	14.00	13.00	12.00	11.00	5.00
-23.00	8.00	13.00	12.00	11.00	9.00	2.00
-25.00	14.00	16.00	13.00	11.00	10.00	-2.00
-27.00	19.00	15.00	14.00	10.00	9.00	-2.00
-25.00	24.00	15.00	11.00	10.00	5.00	1.00
-22.00	26.00	16.00	13.00	13.00	7.00	-1.00
-23.00	26.00	19.00	13.00	13.00	6.00	-2.00
-14.00	29.00	15.00	11.00	11.00	10.00	1.00
-9.00	35.00	13.00	12.00	12.00	16.00	7.00
5.00	34.00	9.00	13.00	9.00	13.00	10.00
17.00	39.00	10.00	12.00	10.00	14.00	3.00
31.00	40.00	7.00	8.00	13.00	14.00	-3.00
37.00	30.00	4.00	5.00	12.00	12.00	-1.00
44.00	23.00	-2.00	5.00	11.00	10.00	0.00
51.00	8.00	-2.00	3.00	11.00	7.00	-1.00
63.00	-5.00	-8.00	3.00	17.00	9.00	-3.00
80.00	-3.00	-12.00	3.00	20.00	9.00	1.00
90.00	-6.00	-16.00	1.00	21.00	7.00	1.00
94.00	-8.00	-14.00	1.00	21.00	5.00	-1.00
101.00	-7.00	-13.00	2.00	23.00	5.00	-2.00
108.00	3.00	-17.00	1.00	26.00	4.00	0.00
118.00	14.00	-23.00	3.00	26.00	3.00	6.00
121.00	13.00	-25.00	-3.00	26.00	5.00	4.00
123.00	12.00	-27.00	-4.00	24.00	11.00	-1.00
125.00	2.00	-29.00	-7.00	27.00	4.00	-2.00
124.00	-10.00	-32.00	-10.00	30.00	2.00	-1.00
119.00	-21.00	-40.00	-12.00	36.00	-2.00	3.00
109.00	-40.00	-43.00	-18.00	38.00	-7.00	4.00
90.00	-51.00	-45.00	-17.00	35.00	-8.00	3.00
69.00	-51.00	-41.00	-17.00	35.00	-6.00	5.00
53.00	-46.00	-41.00	-14.00	31.00	-6.00	2.00
43.00	-30.00	-34.00	-9.00	30.00	-4.00	2.00
24.00	-22.00	-30.00	-8.00	28.00	-4.00	2.00
4.00	-14.00	-21.00	-4.00	24.00	-3.00	3.00
-17.00	-15.00	-14.00	-3.00	20.00	1.00	5.00
-39.00	-15.00	-11.00	-2.00	18.00	3.00	1.00
-49.00	-11.00	-5.00	2.00	15.00	10.00	-1.00
-63.00	0.00	-1.00	5.00	10.00	21.00	4.00
-78.00	5.00	5.00	9.00	8.00	29.00	1.00
-95.00	5.00	7.00	9.00	6.00	27.00	-5.00
-104.00	10.00	14.00	12.00	6.00	-12.00	1.00
-120.00	15.00	18.00	13.00	4.00	-11.00	4.00
-133.00	24.00	24.00	14.00	1.00	22.00	1.00
-141.00	33.00	28.00	16.00	-1.00	21.00	0.00
-150.00	38.00	32.00	18.00	-1.00	20.00	4.00
-155.00	46.00	35.00	21.00	-1.00	28.00	3.00
-157.00	51.00	38.00	21.00	-3.00	27.00	5.00
-156.00	54.00	38.00	23.00	-4.00	23.00	1.00
-149.00	53.00	40.00	23.00	0.00	8.00	-1.00
-140.00	51.00	40.00	22.00	0.00	16.00	-1.00
-136.00	51.00	36.00	20.00	0.00	38.00	0.00
-130.00	50.00	37.00	19.00	-1.00	39.00	0.00
-117.00	54.00	35.00	20.00	-4.00	22.00	15.00
-106.00	53.00	31.00	20.00	-6.00	18.00	14.00
-93.00	51.00	29.00	19.00	-7.00	26.00	9.00
-81.00	53.00	32.00	17.00	-6.00	25.00	-4.00
-68.00	48.00	31.00	16.00	-6.00	18.00	-9.00
-54.00	43.00	27.00	15.00	-2.00	15.00	3.00
-44.00	31.00	25.00	13.00	2.00	18.00	1.00
-28.00	18.00	19.00	12.00	0.00	3.00	0.00
-13.00	2.00	16.00	10.00	2.00	14.00	0.00
0.00	-2.00	13.00	10.00	6.00	28.00	0.00
11.00	-5.00	12.00	13.00	8.00	38.00	0.00
21.00	-5.00	13.00	12.00	9.00	38.00	0.00
31.00	-3.00	12.00	13.00	5.00	32.00	0.00
40.00	0.00	11.00	11.00	7.00	17.00	-15.00
48.00	0.00	10.00	11.00	6.00	-38.00	-10.00
53.00	-2.00	9.00	11.00	6.00	-60.00	6.00
57.00	8.00	7.00	9.00	13.00	-26.00	10.00
62.00	20.00	7.00	10.00	21.00	12.00	9.00
64.00	33.00	4.00	10.00	18.00	17.00	8.00
