-4.00	17.00	-21.00	6.00	20.00	31.00	-5.00
1.00	18.00	-8.00	2.00	12.00	43.00	-4.00
3.00	16.00	2.00	-8.00	-1.00	62.00	-4.00
0.00	15.00	12.00	-6.00	-10.00	64.00	1.00
1.00	12.00	19.00	-6.00	-23.00	35.00	2.00
4.00	13.00	13.00	-7.00	-33.00	10.00	12.00
0.00	15.00	15.00	8.00	12.00	25.00	6.00
-3.00	11.00	28.00	31.00	32.00	-98.00	-1.00
-3.00	8.00	32.00	28.00	55.00	-42.00	3.00
-1.00	7.00	23.00	20.00	64.00	18.00	16.00
-2.00	7.00	13.00	16.00	52.00	32.00	15.00
1.00	11.00	4.00	16.00	35.00	24.00	9.00
6.00	10.00	-5.00	10.00	18.00	17.00	2.00
1.00	8.00	-4.00	8.00	10.00	11.00	-1.00
-1.00	12.00	3.00	8.00	9.00	12.00	5.00
-4.00	13.00	4.00	7.00	9.00	10.00	6.00
-3.00	14.00	4.00	7.00	10.00	9.00	4.00
-6.00	12.00	2.00	6.00	5.00	7.00	-2.00
-2.00	17.00	6.00	9.00	4.00	7.00	0.00
-1.00	15.00	3.00	6.00	6.00	21.00	5.00
0.00	12.00	3.00	9.00	4.00	10.00	7.00
0.00	14.00	5.00	8.00	1.00	3.00	-6.00
2.00	13.00	6.00	5.00	8.00	30.00	-1.00
1.00	15.00	2.00	5.00	8.00	18.00	5.00
0.00	14.00	4.00	8.00	8.00	-12.00	-1.00
0.00	13.00	4.00	11.00	13.00	15.00	1.00
-2.00	13.00	3.00	11.00	23.00	22.00	4.00
0.00	13.00	0.00	10.00	10.00	6.00	-7.00
-2.00	15.00	5.00	10.00	8.00	16.00	-7.00
1.00	14.00	7.00	10.00	20.00	13.00	-2.00
0.00	14.00	5.00	13.00	21.00	22.00	-3.00
-1.00	11.00	3.00	7.00	11.00	-2.00	-2.00
3.00	12.00	2.00	4.00	20.00	17.00	8.00
2.00	12.00	3.00	4.00	17.00	54.00	8.00
0.00	12.00	5.00	4.00	-2.00	-2.00	1.00
-1.00	12.00	6.00	3.00	-4.00	-7.00	0.00
1.00	13.00	7.00	10.00	2.00	13.00	8.00
3.00	15.00	7.00	16.00	-3.00	-50.00	-4.00
3.00	14.00	2.00	13.00	19.00	-17.00	0.00
3.00	14.00	1.00	9.00	40.00	41.00	0.00
3.00	13.00	1.00	10.00	33.00	42.00	3.00
1.00	10.00	-2.00	7.00	17.00	31.00	3.00
3.00	14.00	-6.00	5.00	7.00	27.00	3.00
2.00	15.00	-5.00	5.00	2.00	11.00	-2.00
1.00	15.00	3.00	10.00	8.00	-53.00	-3.00
0.00	14.00	6.00	11.00	36.00	-3.00	1.00
3.00	15.00	7.00	7.00	32.00	28.00	-3.00
1.00	16.00	6.00	5.00	19.00	15.00	-9.00
0.00	17.00	8.00	7.00	15.00	12.00	4.00
-3.00	15.00	8.00	10.00	15.00	9.00	10.00
-1.00	15.00	6.00	8.00	13.00	-2.00	13.00
-2.00	20.00	2.00	9.00	9.00	6.00	12.00
-1.00	18.00	-6.00	7.00	3.00	30.00	10.00
-2.00	19.00	-8.00	3.00	-4.00	50.00	10.00
1.00	18.00	-8.00	3.00	-10.00	56.00	6.00
0.00	16.00	0.00	2.00	-28.00	23.00	1.00
-2.00	15.00	9.00	11.00	-37.00	-44.00	-2.00
-3.00	15.00	7.00	11.00	-8.00	-54.00	-13.00
-3.00	14.00	9.00	15.00	49.00	-26.00	-6.00
0.00	14.00	13.00	16.00	68.00	-13.00	4.00
2.00	12.00	15.00	21.00	66.00	-6.00	8.00
2.00	12.00	8.00	16.00	43.00	48.00	7.00
4.00	15.00	4.00	9.00	22.00	48.00	2.00
3.00	16.00	1.00	6.00	10.00	28.00	0.00
2.00	15.00	1.00	6.00	0.00	18.00	-4.00
2.00	14.00	3.00	12.00	-4.00	11.00	-1.00
1.00	16.00	1.00	8.00	-1.00	7.00	0.00
2.00	18.00	2.00	9.00	12.00	10.00	-1.00
0.00	17.00	3.00	10.00	20.00	7.00	2.00
-1.00	18.00	0.00	10.00	38.00	2.00	11.00
-3.00	16.00	-1.00	8.00	28.00	-10.00	11.00
0.00	19.00	1.00	6.00	20.00	-6.00	6.00
-5.00	14.00	-1.00	2.00	5.00	-5.00	1.00
-4.00	14.00	1.00	2.00	5.00	6.00	4.00
-4.00	16.00	0.00	4.00	4.00	21.00	5.00
-1.00	16.00	0.00	5.00	-9.00	18.00	-1.00
1.00	14.00	2.00	7.00	7.00	48.00	-2.00
-5.00	13.00	1.00	7.00	19.00	52.00	-4.00
-4.00	15.00	1.00	5.00	2.00	34.00	-3.00
-1.00	15.00	4.00	6.00	5.00	81.00	2.00
0.00	14.00	1.00	8.00	7.00	83.00	6.00
-3.00	18.00	1.00	18.00	6.00	2.00	0.00
-6.00	16.00	-1.00	18.00	7.00	-80.00	-4.00
-4.00	12.00	2.00	18.00	11.00	-57.00	1.00
-5.00	10.00	11.00	20.00	35.00	-31.00	-6.00
-1.00	9.00	13.00	18.00	44.00	1.00	2.00
-1.00	10.00	10.00	13.00	31.00	12.00	4.00
-4.00	12.00	5.00	6.00	21.00	22.00	4.00
0.00	12.00	3.00	4.00	11.00	26.00	7.00
8.00	15.00	0.00	3.00	2.00	29.00	6.00
6.00	14.00	-6.00	1.00	-9.00	2.00	2.00
4.00	15.00	-6.00	4.00	-8.00	-4.00	-5.00
1.00	15.00	0.00	8.00	13.00	-8.00	-6.00
0.00	15.00	7.00	13.00	30.00	19.00	-4.00
-5.00	13.00	10.00	10.00	8.00	-31.00	-9.00
-5.00	19.00	15.00	10.00	28.00	11.00	-2.00
-4.00	24.00	15.00	9.00	31.00	-2.00	0.00
-8.00	19.00	13.00	10.00	20.00	-10.00	-4.00
-5.00	18.00	13.00	9.00	17.00	25.00	-5.00
1.00	15.00	11.00	11.00	19.00	31.00	3.00
3.00	15.00	3.00	12.00	13.00	24.00	8.00
2.00	11.00	-4.00	5.00	6.00	16.00	1.00
7.00	15.00	4.00	11.00	9.00	5.00	4.00
4.00	18.00	3.00	8.00	10.00	10.00	15.00
3.00	17.00	3.00	6.00	11.00	15.00	11.00
1.00	17.00	-4.00	6.00	10.00	12.00	6.00
-1.00	18.00	-5.00	5.00	9.00	12.00	3.00
1.00	16.00	-7.00	3.00	9.00	10.00	1.00
2.00	15.00	-8.00	5.00	10.00	13.00	4.00
2.00	14.00	-8.00	4.00	10.00	14.00	6.00
0.00	13.00	0.00	3.00	8.00	15.00	6.00
4.00	13.00	2.00	-2.00	4.00	16.00	1.00
3.00	13.00	2.00	0.00	-4.00	18.00	4.00
8.00	13.00	3.00	3.00	-9.00	25.00	4.00
12.00	13.00	-4.00	1.00	-20.00	12.00	2.00
14.00	18.00	-5.00	3.00	-34.00	6.00	-1.00
11.00	16.00	-4.00	9.00	2.00	46.00	1.00
14.00	13.00	-4.00	22.00	49.00	41.00	3.00
12.00	12.00	-3.00	19.00	32.00	1.00	2.00
6.00	11.00	-4.00	11.00	21.00	-23.00	-2.00
3.00	10.00	-1.00	10.00	27.00	-43.00	-1.00
4.00	12.00	-1.00	8.00	32.00	39.00	2.00
3.00	13.00	3.00	10.00	20.00	22.00	-1.00
3.00	12.00	8.00	7.00	12.00	9.00	3.00
2.00	11.00	12.00	1.00	12.00	12.00	5.00
-3.00	12.00	16.00	4.00	11.00	13.00	0.00
1.00	13.00	17.00	7.00	8.00	18.00	-2.00
0.00	13.00	17.00	6.00	15.00	16.00	-3.00
0.00	14.00	14.00	7.00	14.00	18.00	4.00
0.00	14.00	12.00	8.00	14.00	22.00	13.00
-2.00	15.00	8.00	9.00	10.00	19.00	3.00
-3.00	14.00	7.00	9.00	9.00	14.00	3.00
-5.00	13.00	4.00	8.00	3.00	5.00	1.00
-4.00	15.00	6.00	12.00	8.00	7.00	2.00
-4.00	14.00	6.00	12.00	16.00	9.00	-2.00
-2.00	16.00	7.00	12.00	14.00	22.00	2.00
-3.00	16.00	3.00	11.00	8.00	21.00	-2.00
-2.00	14.00	2.00	11.00	8.00	13.00	0.00
-3.00	16.00	5.00	13.00	19.00	16.00	16.00
0.00	17.00	5.00	12.00	22.00	-5.00	13.00
0.00	12.00	5.00	13.00	17.00	-4.00	5.00
-2.00	14.00	2.00	10.00	13.00	9.00	3.00
0.00	15.00	1.00	9.00	12.00	13.00	4.00
2.00	11.00	0.00	9.00	11.00	10.00	1.00
1.00	12.00	-1.00	10.00	6.00	1.00	1.00
4.00	12.00	-2.00	5.00	4.00	7.00	6.00
4.00	10.00	-3.00	-3.00	0.00	26.00	8.00
4.00	11.00	-1.00	-8.00	-25.00	-2.00	4.00
-1.00	13.00	1.00	-6.00	-43.00	-61.00	5.00
-2.00	16.00	3.00	1.00	-14.00	-30.00	1.00
0.00	20.00	2.00	7.00	5.00	41.00	-1.00
0.00	20.00	1.00	17.00	48.00	31.00	5.00
-5.00	14.00	3.00	20.00	72.00	29.00	2.00
-5.00	11.00	12.00	11.00	37.00	15.00	-4.00
-9.00	10.00	7.00	6.00	-15.00	-53.00	-8.00
-5.00	18.00	6.00	19.00	25.00	-21.00	0.00
-7.00	15.00	8.00	26.00	60.00	41.00	-1.00
-8.00	14.00	9.00	14.00	46.00	9.00	-2.00
-4.00	15.00	11.00	20.00	39.00	36.00	3.00
-2.00	14.00	8.00	19.00	33.00	44.00	0.00
-2.00	11.00	10.00	17.00	24.00	34.00	0.00
-6.00	12.00	8.00	15.00	20.00	20.00	2.00
-7.00	12.00	5.00	14.00	13.00	6.00	1.00
-6.00	12.00	1.00	10.00	2.00	-11.00	-1.00
-7.00	13.00	1.00	6.00	5.00	-2.00	-2.00
-3.00	10.00	2.00	7.00	-2.00	4.00	-5.00
1.00	13.00	0.00	4.00	1.00	7.00	-8.00
0.00	13.00	0.00	2.00	5.00	11.00	-2.00
-1.00	14.00	-2.00	3.00	11.00	13.00	9.00
-2.00	14.00	2.00	5.00	5.00	15.00	7.00
-2.00	12.00	1.00	3.00	4.00	12.00	9.00
1.00	13.00	1.00	2.00	2.00	10.00	14.00
0.00	11.00	0.00	1.00	1.00	9.00	1.00
1.00	12.00	2.00	4.00	4.00	15.00	5.00
1.00	12.00	2.00	3.00	6.00	13.00	8.00
1.00	13.00	2.00	4.00	4.00	11.00	2.00
-1.00	11.00	1.00	5.00	7.00	14.00	-6.00
0.00	12.00	0.00	6.00	7.00	14.00	-6.00
1.00	17.00	2.00	7.00	9.00	16.00	2.00
1.00	15.00	2.00	5.00	5.00	15.00	1.00
0.00	18.00	3.00	4.00	5.00	14.00	7.00
-2.00	15.00	2.00	4.00	4.00	12.00	14.00
0.00	16.00	3.00	6.00	7.00	13.00	12.00
2.00	16.00	3.00	5.00	6.00	12.00	12.00
1.00	17.00	3.00	3.00	7.00	18.00	15.00
-3.00	17.00	5.00	2.00	7.00	22.00	13.00
-5.00	16.00	-3.00	0.00	2.00	27.00	7.00
-6.00	20.00	-14.00	1.00	-6.00	25.00	5.00
-6.00	21.00	-12.00	3.00	-5.00	25.00	2.00
-1.00	22.00	-5.00	11.00	-3.00	-7.00	1.00
-1.00	20.00	-2.00	14.00	5.00	-3.00	-1.00
2.00	18.00	-1.00	16.00	22.00	-5.00	1.00
0.00	13.00	3.00	14.00	23.00	8.00	2.00
2.00	12.00	5.00	9.00	23.00	32.00	8.00
0.00	16.00	10.00	11.00	15.00	-4.00	6.00
1.00	20.00	17.00	12.00	-3.00	19.00	-2.00
-1.00	17.00	11.00	15.00	-16.00	-15.00	-12.00
-3.00	15.00	6.00	17.00	-14.00	-23.00	-16.00
-1.00	16.00	13.00	22.00	6.00	9.00	-6.00
-2.00	15.00	15.00	21.00	68.00	22.00	1.00
-1.00	11.00	15.00	14.00	55.00	11.00	-4.00
2.00	9.00	9.00	8.00	33.00	12.00	-4.00
0.00	9.00	0.00	12.00	19.00	11.00	-2.00
2.00	10.00	-13.00	11.00	9.00	-8.00	-2.00
6.00	11.00	-11.00	9.00	24.00	14.00	-2.00
11.00	10.00	0.00	13.00	35.00	15.00	1.00
11.00	12.00	7.00	17.00	35.00	-3.00	3.00
10.00	12.00	5.00	12.00	35.00	1.00	2.00
8.00	12.00	5.00	8.00	23.00	-1.00	0.00
7.00	16.00	7.00	6.00	15.00	9.00	1.00
8.00	18.00	13.00	5.00	14.00	12.00	3.00
6.00	16.00	16.00	5.00	8.00	10.00	-2.00
8.00	15.00	14.00	7.00	6.00	8.00	-9.00
10.00	16.00	8.00	7.00	7.00	11.00	-18.00
7.00	16.00	2.00	5.00	8.00	12.00	-5.00
6.00	18.00	0.00	7.00	8.00	13.00	9.00
2.00	17.00	-7.00	7.00	8.00	14.00	9.00
-1.00	17.00	-7.00	5.00	7.00	13.00	15.00
-1.00	19.00	0.00	9.00	9.00	14.00	15.00
-5.00	18.00	8.00	9.00	9.00	14.00	2.00
-9.00	17.00	15.00	6.00	8.00	13.00	5.00
-8.00	17.00	12.00	4.00	7.00	11.00	3.00
-5.00	17.00	8.00	6.00	9.00	12.00	5.00
-2.00	18.00	11.00	7.00	10.00	12.00	4.00
2.00	15.00	13.00	8.00	10.00	13.00	4.00
10.00	15.00	12.00	7.00	10.00	12.00	2.00
15.00	13.00	4.00	7.00	10.00	11.00	1.00
19.00	13.00	-3.00	6.00	11.00	12.00	3.00
18.00	13.00	-4.00	5.00	12.00	13.00	1.00
15.00	15.00	0.00	9.00	10.00	15.00	4.00
9.00	18.00	3.00	7.00	10.00	14.00	5.00
6.00	19.00	-1.00	8.00	10.00	13.00	4.00
4.00	18.00	-10.00	3.00	7.00	10.00	2.00
2.00	20.00	-11.00	6.00	7.00	13.00	4.00
-9.00	16.00	-4.00	8.00	6.00	11.00	2.00
-14.00	13.00	5.00	11.00	8.00	12.00	6.00
-17.00	11.00	-2.00	9.00	7.00	6.00	6.00
-16.00	6.00	-8.00	5.00	4.00	4.00	1.00
-7.00	9.00	0.00	10.00	14.00	18.00	6.00
-2.00	10.00	-13.00	7.00	10.00	21.00	5.00
-1.00	11.00	-19.00	5.00	7.00	29.00	8.00
0.00	14.00	-15.00	4.00	4.00	44.00	8.00
4.00	14.00	-9.00	5.00	7.00	63.00	5.00
1.00	16.00	2.00	5.00	11.00	37.00	4.00
-4.00	18.00	11.00	7.00	-1.00	-54.00	1.00
-6.00	18.00	25.00	14.00	-7.00	-70.00	-4.00
-3.00	18.00	37.00	19.00	0.00	-48.00	-10.00
4.00	17.00	36.00	24.00	17.00	-25.00	-9.00
8.00	13.00	36.00	19.00	39.00	35.00	5.00
12.00	14.00	36.00	16.00	41.00	34.00	6.00
13.00	13.00	17.00	11.00	28.00	31.00	9.00
15.00	12.00	11.00	10.00	11.00	34.00	13.00
11.00	12.00	11.00	8.00	-1.00	-6.00	6.00
9.00	9.00	4.00	2.00	-10.00	7.00	-3.00
10.00	11.00	-2.00	2.00	15.00	48.00	-1.00
0.00	14.00	0.00	7.00	4.00	-18.00	-2.00
-3.00	17.00	-2.00	13.00	17.00	-74.00	-8.00
-6.00	14.00	3.00	15.00	49.00	6.00	-5.00
-6.00	15.00	7.00	15.00	60.00	31.00	0.00
-5.00	12.00	6.00	11.00	39.00	17.00	0.00
-8.00	16.00	3.00	9.00	19.00	5.00	8.00
-8.00	14.00	-2.00	5.00	14.00	4.00	5.00
-9.00	18.00	0.00	10.00	28.00	15.00	4.00
-9.00	15.00	-2.00	6.00	13.00	12.00	-3.00
-7.00	16.00	-4.00	7.00	12.00	14.00	-1.00
-9.00	13.00	-2.00	6.00	11.00	26.00	4.00
-12.00	12.00	0.00	6.00	6.00	31.00	0.00
-12.00	13.00	1.00	6.00	2.00	35.00	0.00
-12.00	14.00	-1.00	8.00	-6.00	10.00	-2.00
-9.00	19.00	-1.00	8.00	-8.00	2.00	0.00
-8.00	18.00	-2.00	6.00	-4.00	-42.00	2.00
-7.00	14.00	-4.00	7.00	16.00	2.00	6.00
-7.00	14.00	-24.00	6.00	14.00	37.00	6.00
-6.00	15.00	-60.00	2.00	6.00	52.00	4.00
-5.00	20.00	-69.00	-3.00	4.00	51.00	0.00
-1.00	24.00	-60.00	-2.00	-7.00	2.00	4.00
1.00	23.00	-40.00	5.00	18.00	4.00	12.00
0.00	20.00	-7.00	16.00	38.00	-50.00	4.00
0.00	23.00	31.00	17.00	35.00	-23.00	-2.00
-3.00	21.00	67.00	14.00	40.00	49.00	1.00
-3.00	14.00	90.00	14.00	28.00	32.00	2.00
-1.00	14.00	83.00	9.00	18.00	19.00	-3.00
1.00	10.00	61.00	11.00	12.00	9.00	-2.00
5.00	9.00	37.00	11.00	12.00	7.00	0.00
11.00	2.00	2.00	10.00	9.00	7.00	-1.00
8.00	3.00	-31.00	10.00	8.00	7.00	3.00
13.00	9.00	-49.00	6.00	9.00	11.00	3.00
9.00	11.00	-45.00	2.00	7.00	13.00	0.00
6.00	15.00	-55.00	-3.00	7.00	12.00	4.00
3.00	19.00	-62.00	-6.00	8.00	9.00	5.00
-3.00	18.00	-43.00	-7.00	9.00	4.00	3.00
-2.00	19.00	-13.00	-4.00	11.00	9.00	-8.00
-4.00	15.00	20.00	2.00	9.00	11.00	-4.00
-5.00	19.00	47.00	4.00	9.00	12.00	6.00
-6.00	21.00	73.00	4.00	12.00	12.00	9.00
-7.00	23.00	83.00	9.00	10.00	11.00	2.00
-3.00	18.00	55.00	14.00	9.00	9.00	6.00
-4.00	13.00	9.00	18.00	10.00	7.00	-1.00
1.00	15.00	13.00	21.00	15.00	7.00	-7.00
3.00	8.00	6.00	15.00	15.00	2.00	1.00
11.00	5.00	-7.00	12.00	14.00	1.00	5.00
21.00	0.00	-14.00	11.00	12.00	5.00	1.00
16.00	-10.00	10.00	14.00	8.00	7.00	-5.00
19.00	4.00	38.00	16.00	11.00	11.00	2.00
16.00	11.00	57.00	14.00	12.00	10.00	9.00
14.00	19.00	79.00	21.00	11.00	11.00	8.00
18.00	14.00	69.00	18.00	11.00	7.00	5.00
16.00	11.00	29.00	15.00	11.00	10.00	-1.00
6.00	9.00	-32.00	12.00	9.00	12.00	-3.00
-4.00	8.00	-43.00	11.00	8.00	15.00	-6.00
-5.00	15.00	-34.00	13.00	10.00	19.00	0.00
-4.00	15.00	-42.00	9.00	11.00	17.00	4.00
-6.00	21.00	-89.00	2.00	11.00	18.00	7.00
-14.00	26.00	-126.00	-6.00	10.00	19.00	13.00
-20.00	24.00	-168.00	-11.00	9.00	19.00	8.00
-27.00	24.00	-133.00	-9.00	11.00	16.00	6.00
-25.00	19.00	-48.00	7.00	11.00	15.00	6.00
